source_image,patch_file,idx,cx,cy,score,win,patch_x0,patch_y0,patch_x1,patch_y1
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__037__cx507_cy2563__s0.6095__win28.jpg,37,507,2563,0.6095416798505152,28,375,2431,640,2696
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__038__cx58_cy2583__s0.6094__win28.jpg,38,58,2583,0.6093681403332961,28,-74,2451,191,2716
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__039__cx219_cy1837__s0.6092__win28.jpg,39,219,1837,0.6092287374044392,28,87,1705,352,1970
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__040__cx265_cy2825__s0.6090__win28.jpg,40,265,2825,0.6089972842819064,28,133,2693,398,2958
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__041__cx18_cy2381__s0.6087__win28.jpg,41,18,2381,0.6086722004637721,28,-114,2249,151,2514
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__042__cx265_cy1877__s0.6086__win28.jpg,42,265,1877,0.608569832190057,28,133,1745,398,2010
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__043__cx63_cy2684__s0.6079__win28.jpg,43,63,2684,0.6078783304289744,28,-69,2552,196,2817
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__044__cx139_cy2019__s0.6077__win28.jpg,44,139,2019,0.6076839136769276,28,7,1887,272,2152
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__045__cx305_cy2643__s0.6074__win28.jpg,45,305,2643,0.6074411303880575,28,173,2511,438,2776
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__046__cx23_cy2019__s0.6074__win28.jpg,46,23,2019,0.6073885360316286,28,-109,1887,156,2152
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__047__cx239_cy2381__s0.6070__win28.jpg,47,239,2381,0.606977302468634,28,107,2249,372,2514
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__048__cx345_cy2139__s0.6067__win28.jpg,48,345,2139,0.606702393575805,28,213,2007,478,2272
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__049__cx244_cy2906__s0.6066__win28.jpg,49,244,2906,0.6066365078920174,28,112,2774,377,3039
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__050__cx199_cy2502__s0.6065__win28.jpg,50,199,2502,0.6064826810667728,28,67,2370,332,2635
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__051__cx164_cy1777__s0.6063__win28.jpg,51,164,1777,0.6063047988161466,28,32,1645,297,1910
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__052__cx547_cy2523__s0.6063__win28.jpg,52,547,2523,0.6062587224775605,28,415,2391,680,2656
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__053__cx239_cy2422__s0.6062__win28.jpg,53,239,2422,0.6062437449574188,28,107,2290,372,2555
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__054__cx365_cy2623__s0.6061__win28.jpg,54,365,2623,0.6061360249098033,28,233,2491,498,2756
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__055__cx139_cy1958__s0.6061__win28.jpg,55,139,1958,0.6061088272305647,28,7,1826,272,2091
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__056__cx123_cy2139__s0.6059__win28.jpg,56,123,2139,0.605879297013553,28,-9,2007,256,2272
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__057__cx426_cy2079__s0.6058__win28.jpg,57,426,2079,0.6057864505865924,28,294,1947,559,2212
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__058__cx446_cy2523__s0.6053__win28.jpg,58,446,2523,0.6052657930476816,28,314,2391,579,2656
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__059__cx219_cy2402__s0.6051__win28.jpg,59,219,2402,0.6051473315697694,28,87,2270,352,2535
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__060__cx406_cy1797__s0.6050__win28.jpg,60,406,1797,0.604955619757423,28,274,1665,539,1930
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__061__cx446_cy2482__s0.6050__win28.jpg,61,446,2482,0.6049501572214714,28,314,2350,579,2615
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__062__cx144_cy2160__s0.6039__win28.jpg,62,144,2160,0.6039335733766054,28,12,2028,277,2293
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__063__cx507_cy2785__s0.6038__win28.jpg,63,507,2785,0.6037988292368752,28,375,2653,640,2918
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__064__cx219_cy2724__s0.6036__win28.jpg,64,219,2724,0.6036494712869787,28,87,2592,352,2857
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__065__cx38_cy1797__s0.6036__win28.jpg,65,38,1797,0.6036175577228374,28,-94,1665,171,1930
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__066__cx300_cy1877__s0.6035__win28.jpg,66,300,1877,0.6035471175580513,28,168,1745,433,2010
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__067__cx386_cy2079__s0.6029__win28.jpg,67,386,2079,0.6028860730244406,28,254,1947,519,2212
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__068__cx204_cy2200__s0.6025__win28.jpg,68,204,2200,0.6024994361563029,28,72,2068,337,2333
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__069__cx43_cy1172__s0.6024__win28.jpg,69,43,1172,0.6023750015270188,28,-89,1040,176,1305
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__070__cx260_cy2764__s0.6023__win28.jpg,70,260,2764,0.6023254110185083,28,128,2632,393,2897
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__071__cx406_cy2099__s0.6021__win28.jpg,71,406,2099,0.602105653102749,28,274,1967,539,2232
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__072__cx285_cy2764__s0.6020__win28.jpg,72,285,2764,0.6020165131780794,28,153,2632,418,2897
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__073__cx325_cy2523__s0.6019__win28.jpg,73,325,2523,0.601947271045746,28,193,2391,458,2656
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__074__cx386_cy2664__s0.6017__win28.jpg,74,386,2664,0.6017353590095001,28,254,2532,519,2797
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__075__cx386_cy2744__s0.6017__win28.jpg,75,386,2744,0.6017024648387141,28,254,2612,519,2877
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__076__cx103_cy910__s0.6017__win28.jpg,76,103,910,0.6016575289236272,28,-29,778,236,1043
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__077__cx184_cy1736__s0.6017__win28.jpg,77,184,1736,0.6016529219749559,28,52,1604,317,1869
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__078__cx527_cy2341__s0.6015__win28.jpg,78,527,2341,0.6015308994545094,28,395,2209,660,2474
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__079__cx139_cy869__s0.6012__win28.jpg,79,139,869,0.6011545177522449,28,7,737,272,1002
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__080__cx365_cy2301__s0.6011__win28.jpg,80,365,2301,0.6010737962613997,28,233,2169,498,2434
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__081__cx446_cy2825__s0.6011__win28.jpg,81,446,2825,0.6010625259562958,28,314,2693,579,2958
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__082__cx219_cy1797__s0.6005__win28.jpg,82,219,1797,0.6005150269405213,28,87,1665,352,1930
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__083__cx406_cy2059__s0.6004__win28.jpg,83,406,2059,0.6004003018171148,28,274,1927,539,2192
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__084__cx239_cy2200__s0.6002__win28.jpg,84,239,2200,0.6001747606780176,28,107,2068,372,2333
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__085__cx567_cy2220__s0.5996__win28.jpg,85,567,2220,0.5995512325689152,28,435,2088,700,2353
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__086__cx118_cy2704__s0.5992__win28.jpg,86,118,2704,0.5992445393970994,28,-14,2572,251,2837
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__087__cx184_cy2079__s0.5991__win28.jpg,87,184,2079,0.5990881980009034,28,52,1947,317,2212
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__088__cx345_cy688__s0.5990__win28.jpg,88,345,688,0.5990026482273502,28,213,556,478,821
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__089__cx426_cy2986__s0.5989__win28.jpg,89,426,2986,0.5989156181308195,28,294,2854,559,3119
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__090__cx184_cy1857__s0.5985__win28.jpg,90,184,1857,0.5985187181378018,28,52,1725,317,1990
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__091__cx58_cy1152__s0.5983__win28.jpg,91,58,1152,0.5982705865128469,28,-74,1020,191,1285
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__092__cx43_cy1252__s0.5982__win28.jpg,92,43,1252,0.5982338137945551,28,-89,1120,176,1385
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__093__cx123_cy1756__s0.5981__win28.jpg,93,123,1756,0.5980652253021822,28,-9,1624,256,1889
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__094__cx63_cy809__s0.5979__win28.jpg,94,63,809,0.5979355583339906,28,-69,677,196,942
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__095__cx426_cy2240__s0.5979__win28.jpg,95,426,2240,0.5978790122000668,28,294,2108,559,2373
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__096__cx179_cy2381__s0.5976__win28.jpg,96,179,2381,0.5976322649932465,28,47,2249,312,2514
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__097__cx345_cy2543__s0.5975__win28.jpg,97,345,2543,0.5974905406858526,28,213,2411,478,2676
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__098__cx426_cy305__s0.5971__win28.jpg,98,426,305,0.5970748714686416,28,294,173,559,438
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__099__cx123_cy2039__s0.5969__win28.jpg,99,123,2039,0.5969412681563004,28,-9,1907,256,2172
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__100__cx567_cy2301__s0.5969__win28.jpg,100,567,2301,0.596900454835623,28,435,2169,700,2434
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__101__cx300_cy2603__s0.5966__win28.jpg,101,300,2603,0.5966239686909942,28,168,2471,433,2736
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__102__cx466_cy2744__s0.5962__win28.jpg,102,466,2744,0.5962309604408027,28,334,2612,599,2877
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__103__cx386_cy2502__s0.5961__win28.jpg,103,386,2502,0.5961014286236723,28,254,2370,519,2635
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__104__cx406_cy2381__s0.5961__win28.jpg,104,406,2381,0.5960690981073646,28,274,2249,539,2514
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__105__cx486_cy2482__s0.5957__win28.jpg,105,486,2482,0.5956812086032366,28,354,2350,619,2615
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__106__cx486_cy2764__s0.5954__win28.jpg,106,486,2764,0.5954113142576305,28,354,2632,619,2897
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__107__cx18_cy1252__s0.5953__win28.jpg,107,18,1252,0.5953435826687418,28,-114,1120,151,1385
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__108__cx23_cy1515__s0.5951__win28.jpg,108,23,1515,0.5951366363921956,28,-109,1383,156,1648
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__109__cx23_cy1474__s0.5951__win28.jpg,109,23,1474,0.5950853848936315,28,-109,1342,156,1607
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__110__cx325_cy2623__s0.5949__win28.jpg,110,325,2623,0.5949459155272631,28,193,2491,458,2756
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__111__cx18_cy789__s0.5949__win28.jpg,111,18,789,0.5948809101618842,28,-114,657,151,922
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__112__cx325_cy2704__s0.5949__win28.jpg,112,325,2704,0.5948747455952134,28,193,2572,458,2837
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__113__cx159_cy325__s0.5945__win28.jpg,113,159,325,0.5944749421565528,28,27,193,292,458
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__114__cx78_cy1918__s0.5945__win28.jpg,114,78,1918,0.5944678655970026,28,-54,1786,211,2051
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__115__cx547_cy2563__s0.5944__win28.jpg,115,547,2563,0.5944415516894312,28,415,2431,680,2696
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__116__cx547_cy2623__s0.5943__win28.jpg,116,547,2623,0.5942690197503864,28,415,2491,680,2756
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__117__cx38_cy1535__s0.5942__win28.jpg,117,38,1535,0.5941630598264105,28,-94,1403,171,1668
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__118__cx23_cy1676__s0.5941__win28.jpg,118,23,1676,0.5941390836679838,28,-109,1544,156,1809
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__119__cx98_cy1998__s0.5941__win28.jpg,119,98,1998,0.5940728923868489,28,-34,1866,231,2131
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__120__cx38_cy2180__s0.5941__win28.jpg,120,38,2180,0.5940613671987134,28,-94,2048,171,2313
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__121__cx118_cy2623__s0.5939__win28.jpg,121,118,2623,0.5939059205516743,28,-14,2491,251,2756
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__122__cx164_cy2019__s0.5936__win28.jpg,122,164,2019,0.5936199684372697,28,32,1887,297,2152
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__123__cx406_cy2865__s0.5934__win28.jpg,123,406,2865,0.5933836779777679,28,274,2733,539,2998
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__124__cx78_cy2744__s0.5932__win28.jpg,124,78,2744,0.5931822587870934,28,-54,2612,211,2877
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__125__cx507_cy2523__s0.5927__win28.jpg,125,507,2523,0.5927073488821679,28,375,2391,640,2656
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__126__cx123_cy950__s0.5925__win28.jpg,126,123,950,0.592513680257744,28,-9,818,256,1083
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__127__cx144_cy1172__s0.5924__win28.jpg,127,144,1172,0.5924466435447837,28,12,1040,277,1305
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__128__cx607_cy2260__s0.5924__win28.jpg,128,607,2260,0.5924461523909168,28,475,2128,740,2393
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__129__cx63_cy1515__s0.5921__win28.jpg,129,63,1515,0.5920616873503922,28,-69,1383,196,1648
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__130__cx466_cy2200__s0.5920__win28.jpg,130,466,2200,0.5920066336014986,28,334,2068,599,2333
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__131__cx300_cy668__s0.5917__win28.jpg,131,300,668,0.591685556701333,28,168,536,433,801
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__132__cx139_cy2684__s0.5915__win28.jpg,132,139,2684,0.5915327824749186,28,7,2552,272,2817
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__133__cx285_cy1857__s0.5914__win28.jpg,133,285,1857,0.5913999049859751,28,153,1725,418,1990
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__134__cx139_cy2462__s0.5913__win28.jpg,134,139,2462,0.591291327383898,28,7,2330,272,2595
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__135__cx219_cy2825__s0.5912__win28.jpg,135,219,2825,0.5912096851678361,28,87,2693,352,2958
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__136__cx365_cy2099__s0.5909__win28.jpg,136,365,2099,0.5909244938727002,28,233,1967,498,2232
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__137__cx199_cy1877__s0.5906__win28.jpg,137,199,1877,0.5905813805713407,28,67,1745,332,2010
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__138__cx260_cy1817__s0.5903__win28.jpg,138,260,1817,0.5903109927720711,28,128,1685,393,1950
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__139__cx118_cy1252__s0.5902__win28.jpg,139,118,1252,0.5902200620708947,28,-14,1120,251,1385
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__140__cx507_cy2301__s0.5901__win28.jpg,140,507,2301,0.5901463139861213,28,375,2169,640,2434
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__141__cx365_cy1676__s0.5898__win28.jpg,141,365,1676,0.589786559782113,28,233,1544,498,1809
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__142__cx58_cy2462__s0.5897__win28.jpg,142,58,2462,0.5897408762977215,28,-74,2330,191,2595
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__143__cx365_cy2059__s0.5896__win28.jpg,143,365,2059,0.5895746575318815,28,233,1927,498,2192
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__144__cx38_cy2865__s0.5895__win28.jpg,144,38,2865,0.5895182272905986,28,-94,2733,171,2998
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__145__cx239_cy2583__s0.5894__win28.jpg,145,239,2583,0.5894203830493356,28,107,2451,372,2716
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__146__cx285_cy809__s0.5885__win28.jpg,146,285,809,0.5884998009143,28,153,677,418,942
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__147__cx300_cy1918__s0.5881__win28.jpg,147,300,1918,0.5881251565895468,28,168,1786,433,2051
